mult,lmax,T,c,method,miscov,rolling_std,length,frac_inf
-,-,-,-,ACI,0.10040567951318459,0.026802820213675957,0.0928362482675702,0.04293441514536849
100x,2.3087e+01,2,1.4251e-02,BCI(T=2),0.10040567951318459,0.02881389122808779,0.08475915041325319,0.0
100x,2.3087e+01,3,2.8943e-02,BCI(T=3),0.10040567951318459,0.027601890105273665,0.08647216404867272,0.0
100x,2.3087e+01,5,5.8780e-02,BCI(T=5),0.10074374577417174,0.029389692577957382,0.08677237882235314,0.0
