mult,lmax,T,c,method,miscov,rolling_std,length,frac_inf
-,-,-,-,ACI,0.10074374577417174,0.0625930280557229,0.08964166894098272,0.0
100x,2.3087e+01,2,8.3768e-04,BCI(T=2),0.10311020960108182,0.0629697913163956,0.08216379901744135,0.0
100x,2.3087e+01,3,1.7013e-03,BCI(T=3),0.10277214334009466,0.06084116812521341,0.08220093269579082,0.0
100x,2.3087e+01,5,3.4551e-03,BCI(T=5),0.10344827586206896,0.061567001244111325,0.0824242313306999,0.0
