mult,lmax,T,c,method,miscov,rolling_std,length,frac_inf
-,-,-,-,ACI,0.1002184598580011,0.06599786971462976,0.07555399396358242,0.0
100x,1.8377e+02,2,1.0000e-04,BCI(T=2),0.08164937192790825,0.06169679639232598,0.07641120158260553,0.0
100x,1.8377e+02,3,1.0000e-04,BCI(T=3),0.0860185690879301,0.06369100087485031,0.07395562831873234,0.0
100x,1.8377e+02,5,1.0000e-04,BCI(T=5),0.099399235390497,0.06604064934915094,0.07076188671337544,0.0
