mult,lmax,T,c,method,miscov,rolling_std,length,frac_inf
-,-,-,-,ACI,0.09956709956709957,0.03842649269496802,6.420760902174125,0.0
100x,3.95e+04,5,1.1253e-02,BCI(T=5),0.1001082251082251,0.03980714806373363,6.3604168608370255,0.0
