mult,lmax,T,c,method,miscov,rolling_std,length,frac_inf
-,-,-,-,ACI,0.10153061224489796,0.03618431395258132,6.350965229755461,0.02806122448979592
100x,2.92e+03,2,1.1938e-02,BCI(T=2),0.10357142857142858,0.037911946465381104,4.7214637851814665,0.0
100x,2.92e+03,3,2.2855e-02,BCI(T=3),0.10357142857142858,0.03691761585218332,4.807090998112914,0.0
100x,2.92e+03,5,8.3768e-02,BCI(T=5),0.10306122448979592,0.03434093915148896,5.184786500795868,0.0
100x,2.92e+03,7,8.3768e-02,BCI(T=7),0.10357142857142858,0.03896859749976816,4.886469764667116,0.0
