mult,lmax,T,c,method,miscov,rolling_std,length,frac_inf
-,-,-,-,ACI,0.09956709956709957,0.03842649269496802,6.420760902174125,0.0
100x,3.95e+04,2,4.3755e-03,BCI(T=2),0.1001082251082251,0.03846103128675742,6.406554659023306,0.0
100x,3.95e+04,3,7.0170e-03,BCI(T=3),0.1001082251082251,0.03812370052774553,6.419819932234933,0.0
