mult,lmax,T,c,method,miscov,rolling_std,length,frac_inf
-,-,-,-,ACI,0.09990515333544103,0.02021542648337775,6.499917188119111,0.08852355358836547
100x,6.41e+04,2,1.8047e-02,BCI(T=2),0.09958899778691116,0.02167156121254336,6.458697328842854,0.0
100x,6.41e+04,3,4.6416e-02,BCI(T=3),0.0997470755611761,0.018433030702967576,6.552855104572101,0.0
