mult,lmax,T,c,method,miscov,rolling_std,length,frac_inf
-,-,-,-,ACI,0.09994538503549973,0.02709719585351817,0.07867680619022761,0.02894593118514473
100x,1.8377e+02,2,3.4551e-03,BCI(T=2),0.09967231021299836,0.025472837610300697,0.07525435274936917,0.0
100x,1.8377e+02,3,3.4551e-03,BCI(T=3),0.099399235390497,0.03178470562236945,0.07318788197440178,0.0
100x,1.8377e+02,5,1.4251e-02,BCI(T=5),0.09967231021299836,0.02455752716155226,0.07568418271244476,0.0
