mult,lmax,T,c,method,miscov,rolling_std,length,frac_inf
-,-,-,-,ACI,0.10102040816326531,0.055321072179029415,5.91825979148193,0.0
100x,2.92e+03,2,1.0000e-03,BCI(T=2),0.11071428571428571,0.0509741408158951,4.268788003503922,0.0
100x,2.92e+03,3,1.0000e-03,BCI(T=3),0.11734693877551021,0.05286195784742873,4.0909994647212,0.0
100x,2.92e+03,5,1.0000e-03,BCI(T=5),0.13010204081632654,0.055595330421733195,3.8654503773301396,0.0
100x,2.92e+03,7,1.5118e-03,BCI(T=7),0.13010204081632654,0.05678001331653541,3.8583557963371184,0.0
