mult,lmax,T,c,method,miscov,rolling_std,length,frac_inf
-,-,-,-,ACI,0.09948792977322604,0.027267478955258564,0.11284494922279212,0.033650329188002925
100x,3.4161e+01,2,1.4251e-02,BCI(T=2),0.09912216532553036,0.02618661556953301,0.10343379414922187,0.0
100x,3.4161e+01,3,2.8943e-02,BCI(T=3),0.09948792977322604,0.024795302242446405,0.10511784185064867,0.0
100x,3.4161e+01,5,5.8780e-02,BCI(T=5),0.09912216532553036,0.02744359041767879,0.1036576899861649,0.0
