mult,lmax,T,c,method,miscov,rolling_std,length,frac_inf
-,-,-,-,ACI,0.10131675201170447,0.055501375233120896,0.10572590774431284,0.0
100x,3.4161e+01,2,1.7013e-03,BCI(T=2),0.10168251645940014,0.05584674545860772,0.09849090828720684,0.0
100x,3.4161e+01,3,3.4551e-03,BCI(T=3),0.10131675201170447,0.054037022337519613,0.09860495540139451,0.0
100x,3.4161e+01,5,7.0170e-03,BCI(T=5),0.10168251645940014,0.05390955755896808,0.09891787967288056,0.0
