index,beta,alpha,upper,lower,lambda,true_y
2006-04-13 00:00:00,0.673828125,0.3184422110552764,12.247542981079368,-7.981934427079368,5000,0.0
2006-04-14 00:00:00,0.833374023,0.3184422110552764,7.527291673508111,-6.82571327550811,4930.0,0.0
2006-04-15 00:00:00,0.961181641,0.01,2.330553129194148,-1.8157216111941477,4860.0,0.0
2006-04-16 00:00:00,0.75,0.01,2.1954239737243078,-1.6580734717243075,4790.0,0.0
2006-04-17 00:00:00,0.71875,0.01,2.4789601880996766,-1.9344325020996764,4720.0,0.0
2006-04-18 00:00:00,0.75,0.01,2.187449944215529,-1.6988250682155288,4650.0,0.0
2006-04-19 00:00:00,0.219726563,0.01,2.13047717486542,-1.60896998286542,4580.0,1.17
2006-04-20 00:00:00,0.71875,0.01,2.1641320020823795,-1.6212731020823796,4510.0,0.0
2006-04-21 00:00:00,0.7109375,0.01,1.9302766078440563,-1.5484168818440562,4440.0,0.0
2006-04-22 00:00:00,0.124023438,0.01,2.3866262295180567,-1.8543641035180567,4370.0,1.23
2006-04-23 00:00:00,0.74609375,0.11944723618090453,3.9814331424801104,-16.70339006448011,4300.0,0.0
2006-04-24 00:00:00,0.338256836,0.01,2.114582029464705,-1.664541049464705,4230.0,0.0
2006-04-25 00:00:00,0.759765625,0.01,6.203575867421475,-5.855956015421476,4160.0,0.0
2006-04-26 00:00:00,0.940917969,0.01,2.5021444291984527,-1.9094728551984528,4090.0,0.0
2006-04-27 00:00:00,0.728515625,0.01,2.493406255554409,-1.890826573554409,4020.0,0.0
2006-04-28 00:00:00,0.12109375,0.01,2.4762307247467934,-1.8733279027467935,3950.0,1.62
2006-04-29 00:00:00,0.720703125,0.01,5.044228027389069,-4.117306663389069,3880.0,0.0
2006-04-30 00:00:00,0.794433594,0.01,2.8838701662820188,-2.385496988282019,3810.0,0.0
2006-05-01 00:00:00,0.807617188,0.01,3.606464789039559,-2.842887003039559,3740.0,0.0
2006-05-02 00:00:00,0.760742188,0.01,2.3271181476543354,-1.7922301456543357,3670.0,0.0
2006-05-03 00:00:00,0.030273438,0.01,2.388645754580525,-1.8386135845805252,3600.0,2.0
2006-05-04 00:00:00,0.673828125,0.01,2.3138072778726064,-1.6841116258726063,3530.0,0.62
2006-05-05 00:00:00,0.685546875,0.01,10.02902795583748,-9.47807414383748,3460.0,0.0
2006-05-06 00:00:00,0.941894531,0.11944723618090453,8.916347628207095,-6.882667186207095,3390.0,0.0
2006-05-07 00:00:00,0.841064453,0.01,2.271835157629424,-1.7039928776294238,3320.0,0.0
2006-05-08 00:00:00,0.712890625,0.11944723618090453,9.107562488232722,-10.91947417423272,3250.0,0.0
2006-05-09 00:00:00,0.887939453,0.01,2.1943574780552613,-1.6848717860552613,3180.0,0.0
2006-05-10 00:00:00,0.572265625,0.11944723618090453,5.673601848691504,-15.849433984691505,3110.0,0.68
