index,beta,alpha,upper,lower,lambda,true_y
2001-04-06,0.6195068359375,0.09999999999999998,197.66494393983217,0.20233309323845958,0.9,8.172729046384294
2001-04-09,0.950714111328125,0.10999999999999999,141.68497337359196,0.1831721910849483,0.89,19.60868081729819
2001-04-10,0.0816726684570312,0.12,153.21591313496242,0.24540620022086332,0.88,181.1682569673989
2001-04-11,0.3807373046875,0.030000000000000027,393.11618438231955,0.02348657796748949,0.97,3.856936282987693
2001-04-12,0.34814453125,0.040000000000000036,277.87656339814373,0.03226886237382992,0.96,2.48298494484976
2001-04-16,0.4873046875,0.050000000000000044,236.46484518768284,0.0462261894649491,0.95,4.53134517958411
2001-04-17,0.1966552734375,0.06000000000000005,206.89668977003666,0.06214274255343892,0.94,120.04956724536883
2001-04-18,0.8494873046875,0.07000000000000006,193.39564897170587,0.08378337221839746,0.9299999999999999,13.662116963487632
2001-04-19,0.6020660400390625,0.08000000000000007,175.98511723901942,0.10497963912791763,0.9199999999999999,44.6368444119797
2001-04-20,0.650634765625,0.09000000000000008,157.59847097783256,0.1249387791677095,0.9099999999999999,6.911579800413393
2001-04-23,0.847412109375,0.10000000000000009,145.91377434297564,0.14942517557880486,0.8999999999999999,11.86579556400122
2001-04-24,0.5491485595703125,0.1100000000000001,133.2675129533959,0.17233256729702442,0.8899999999999999,43.21933921365351
2001-04-25,0.535858154296875,0.1200000000000001,125.24164476502123,0.2006594823847666,0.8799999999999999,43.46304072339564
2001-04-26,0.59136962890625,0.13000000000000012,125.700809506477,0.24569535568297085,0.8699999999999999,40.386970340449714
2001-04-27,0.636383056640625,0.14000000000000012,116.24161736113476,0.2733477855073386,0.8599999999999999,35.288446411357235
2001-04-30,0.7965087890625,0.15000000000000013,105.84113050162603,0.2960719448557851,0.8499999999999999,9.099822780951316
2001-05-01,0.0701065063476562,0.16000000000000014,95.84459901734988,0.3156733022936347,0.8399999999999999,138.88155272137905
2001-05-02,0.3594970703125,0.07000000000000017,144.49365818533798,0.06271987438361623,0.9299999999999998,58.57135168208991
2001-05-03,0.09375,0.08000000000000018,147.77203472848694,0.08823822885523418,0.9199999999999998,0.1208450789722973
2001-05-04,0.97625732421875,0.09000000000000019,136.79247996817935,0.10849001179301591,0.9099999999999998,16.374560996364714
